id,title,genre_category,prompt,source_id,source_url,license_status,collection_mode,language,tags
P0001,Modern Pop Anthem (Female Vocals),pop_and_modern,"Infectious pop anthem, female powerhouse vocals with layered harmonies, pulsing 808 bass, synth-wave layers, euphoric build-ups, radio-ready polish, modern production, vocal chops, stadium-ready energy, BPM: 128, Key: C Major",SRC003,https://github.com/naqashmunir21/awesome-suno-prompts,safe_cc0,exact_cc0,en,"anthem,female,modern,pop,vocals"
P0002,Festival Pop Banger,pop_and_modern,"Massive drop-ready pop, EDM-influenced production, soaring vocal hooks, hands-in-the-air moments, festival main stage energy, crisp high-end, sub-bass that punches, BPM: 130, Key: A Minor",SRC003,https://github.com/naqashmunir21/awesome-suno-prompts,safe_cc0,exact_cc0,en,"banger,festival,pop"
P0003,K-Pop Inspired Dance Track,pop_and_modern,"High-energy K-pop production, rap verses + melodic chorus, layered synths, trap-influenced beats, intricate vocal runs, polished perfection, dynamic structure, addictive hooks, BPM: 140, Key: F Minor",SRC003,https://github.com/naqashmunir21/awesome-suno-prompts,safe_cc0,exact_cc0,en,"dance,inspired,k,pop,track"
P0004,Retro 80s Dance Pop,pop_and_modern,"80s synth-pop revival, gated reverb on snare, analog synth leads, retro drum machines, nostalgic vibes, catchy chorus, uplifting mood, modern production polish, BPM: 118, Key: E♭ Major",SRC003,https://github.com/naqashmunir21/awesome-suno-prompts,safe_cc0,exact_cc0,en,"80s,dance,pop,retro"
P0005,Latin Pop Fusion,latin,"Reggaeton-influenced pop, Spanish guitar accents, tropical percussion, bilingual lyrics vibe, catchy dembow rhythm, pop vocals with Latin flair, summer heat energy, BPM: 95, Key: A Minor",SRC003,https://github.com/naqashmunir21/awesome-suno-prompts,safe_cc0,exact_cc0,en,"fusion,latin,pop"
P0006,Piano-Driven Power Ballad,pop_and_modern,"Piano-driven emotional ballad, raw vulnerable vocals, builds from intimate verse to soaring chorus, subtle string arrangements, modern radio production, reverb on vocals, stripped-down bridge, powerful final chorus, BPM: 72, Key: G Major",SRC003,https://github.com/naqashmunir21/awesome-suno-prompts,safe_cc0,exact_cc0,en,"ballad,driven,piano,power"
P0007,Orchestral Pop Ballad,cinematic_orchestral,"Cinematic pop ballad, full orchestral arrangement, sweeping strings, powerful vocals, emotional build, Hollywood production, dramatic key change, epic final chorus, BPM: 68, Key: D Major",SRC003,https://github.com/naqashmunir21/awesome-suno-prompts,safe_cc0,exact_cc0,en,"ballad,orchestral,pop"
P0008,Acoustic Intimate Ballad,folk_acoustic,"Stripped-down acoustic ballad, fingerpicked guitar, intimate whispered vocals, minimal production, authentic emotion, subtle string swells, bedroom recording vibe, BPM: 60, Key: C Major",SRC003,https://github.com/naqashmunir21/awesome-suno-prompts,safe_cc0,exact_cc0,en,"acoustic,ballad,intimate"
P0009,Gospel-Influenced Soul Ballad,rnb_soul_gospel,"Soul-stirring gospel-pop, powerful vocal runs, church organ, handclaps, choir backing vocals, emotional crescendo, uplifting message, modern R&B production, BPM: 75, Key: B♭ Major",SRC003,https://github.com/naqashmunir21/awesome-suno-prompts,safe_cc0,exact_cc0,en,"ballad,gospel,influenced,soul"
P0010,Bedroom Pop Dreamy,pop_and_modern,"Lo-fi bedroom pop aesthetic, dreamy vocals with subtle reverb, jangly indie guitars, vintage synth pads, tape saturation warmth, DIY production charm, imperfect and intimate, nostalgic atmosphere, BPM: 105, Key: E♭ Major",SRC003,https://github.com/naqashmunir21/awesome-suno-prompts,safe_cc0,exact_cc0,en,"bedroom,dreamy,pop"
