id,version,language_focus,category,category_slug,title,bpm,key,energy,use_case,groove,bass,synth,guitar,vocal,mood,production,structure,exclude,tags,prompt,source_basis
ege14c5fd8,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Robot Funk Nightclub,118,E minor,high,best first tests,curated groove-forward prompt,curated bass-forward prompt,curated synth-forward prompt,curated guitar/electronic balance,curated vocal texture,curated mood,curated production,curated structure,"trap drums, dubstep wobble, EDM festival drop, Japanese vocals, anime opening style.","french touch, filter house, electro funk, disco house, vocoder, groove, curated, top-pick, 118bpm, e-minor","Modern French touch electro-funk with a tight four-on-the-floor groove, rubbery disco bassline, filtered synth chords, compressed kick, vocoder-style backing hooks, clipped rhythm guitar accents, glossy but human feel, 118 BPM, E minor, danceable and warm. Arrangement: filtered intro, bass-led verse, robot hook chorus, breakdown with phaser chords, final stacked chorus. Exclude: trap drums, dubstep wobble, EDM festival drop, Japanese vocals, anime opening style.","Curated original normalized prompt based on user request: electronic sound with groove, French-touch-like, Drive-like neon noir, without artist-name imitation."
egf05a9d4a,V03-20260621,overseas / non-Japanese,Neon Noir Night Drive,neon-noir-night-drive,Night Drive Melancholy,96,A minor,medium,best first tests,curated groove-forward prompt,curated bass-forward prompt,curated synth-forward prompt,curated guitar/electronic balance,curated vocal texture,curated mood,curated production,curated structure,"anime style, J-pop, trap hi-hats, dubstep bass, bright happy pop.","neon noir, night drive, cinematic synth, retro future, moody electronic, dark pop, curated, top-pick, 96bpm, a-minor","Neon noir synthwave rock for a late-night city drive, pulsing analog bass arpeggio, vintage drum machine with gated reverb, glassy polysynth pads, restrained electric guitar textures, cinematic 80s atmosphere with modern low-end, melancholic low male vocal, 96 BPM, A minor. Exclude: anime style, J-pop, trap hi-hats, dubstep bass, bright happy pop.","Curated original normalized prompt based on user request: electronic sound with groove, French-touch-like, Drive-like neon noir, without artist-name imitation."
egdc49f543,V03-20260621,overseas / non-Japanese,Electro-Rock / Bloghouse / French Electro,electro-rock-bloghouse-french-electro,Dirty Club Rock Machine,124,D minor,high,best first tests,curated groove-forward prompt,curated bass-forward prompt,curated synth-forward prompt,curated guitar/electronic balance,curated vocal texture,curated mood,curated production,curated structure,"metal growls, dubstep wobble, trap hi-hats, Japanese vocals.","electro rock, bloghouse, french electro, dirty electro, indie dance, distorted synth, curated, top-pick, 124bpm, d-minor","Dirty electro-rock groove with distorted synth riffs, live-sounding drums locked to a dance pulse, fuzz bass, shouted gang hooks, clipped French electro-style compression, punk energy but club-ready, 124 BPM, D minor. Arrangement: riff intro, verse chant, explosive hook, filtered drum break, final riff chorus. Exclude: metal growls, dubstep wobble, trap hi-hats, Japanese vocals.","Curated original normalized prompt based on user request: electronic sound with groove, French-touch-like, Drive-like neon noir, without artist-name imitation."
eg07e32451,V03-20260621,overseas / non-Japanese,Nu-Disco / Indie Dance,nu-disco-indie-dance,Rubbery Indie Disco,112,G minor,medium-high,best first tests,curated groove-forward prompt,curated bass-forward prompt,curated synth-forward prompt,curated guitar/electronic balance,curated vocal texture,curated mood,curated production,curated structure,"tropical house, trap hi-hats, acoustic country, anime opening style.","nu disco, indie dance, disco pop, dance rock, funky bass, clean guitar, curated, top-pick, 112bpm, g-minor","Nu-disco indie dance track with funky syncopated bass, clean rhythm guitar chops, warm analog synth stabs, tight pocket drums, smooth falsetto vocal texture, bright chorus lift, modern mix, 112 BPM, G minor. Keep the groove human and band-like, not EDM. Exclude: tropical house, trap hi-hats, acoustic country, anime opening style.","Curated original normalized prompt based on user request: electronic sound with groove, French-touch-like, Drive-like neon noir, without artist-name imitation."
eg1fda3980,V03-20260621,overseas / non-Japanese,Synthwave / Outrun / Retrowave,synthwave-outrun-retrowave,Outrun Highway Pulse,104,C minor,medium-high,best first tests,curated groove-forward prompt,curated bass-forward prompt,curated synth-forward prompt,curated guitar/electronic balance,curated vocal texture,curated mood,curated production,curated structure,"EDM supersaw drop, trap drums, J-pop chorus, tropical percussion.","synthwave, outrun, retrowave, 80s synth, night drive, analog synth, curated, top-pick, 104bpm, c-minor","Modern outrun synthwave with pulsing analog bass arpeggio, gated reverb snare, wide chorus pads, bright lead synth melody, restrained electric guitar swells, cinematic night-highway momentum, 104 BPM, C minor. Arrangement: slow arpeggio intro, drum-machine entrance, synth hook, bridge, final reprise. Exclude: EDM supersaw drop, trap drums, J-pop chorus, tropical percussion.","Curated original normalized prompt based on user request: electronic sound with groove, French-touch-like, Drive-like neon noir, without artist-name imitation."
eg6dd6edde,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Core French Touch Groove,124,G minor,high,instrumental cue,looped dancefloor pocket,round octave-jumping synth bass,sample-inspired disco chord hooks,short clipped rhythm guitar accents,vocoder-style backing hooks,retro-futuristic joy,"tight modern low-end, tape-saturated highs, phaser sweeps","intro filter sweep, verse groove, pre-chorus lift, hook chorus, breakdown, final chorus","trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro","french touch, filter house, electro funk, disco house, vocoder, groove, 124bpm, g-minor","Create an overseas french touch / filter house track with a looped dancefloor pocket, round octave-jumping synth bass, sample-inspired disco chord hooks, and short clipped rhythm guitar accents. Use vocoder-style backing hooks, retro-futuristic joy, 124 BPM, G minor. Arrangement: intro filter sweep, verse groove, pre-chorus lift, hook chorus, breakdown, final chorus. Production: tight modern low-end, tape-saturated highs, phaser sweeps. Keep it groove-forward, modern, and usable as a polished Suno style prompt. Exclude: trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro.",Original normalized prompt based on genre research and Suno official prompt-format guidance; no artist-name imitation in public prompt text.
eg2d731e7f,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Chrome Chase,112,E minor,medium,intro-heavy seed,steady 4/4 robot funk groove,punchy funk bass with clipped attack,phaser-washed synth stabs,"no guitar, synths carry the rhythm",minimal repeated vocal phrase,retro-futuristic joy,"heavy bus compression, tasteful sidechain, wide stereo filters","slow filter-open intro, bass-led verse, vocoder refrain, euphoric chorus, DJ-friendly outro","trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro","french touch, filter house, electro funk, disco house, vocoder, groove, 112bpm, e-minor","Create an overseas french touch / filter house track with a steady 4/4 robot funk groove, punchy funk bass with clipped attack, phaser-washed synth stabs, and no guitar, synths carry the rhythm. Use minimal repeated vocal phrase, retro-futuristic joy, 112 BPM, E minor. Arrangement: slow filter-open intro, bass-led verse, vocoder refrain, euphoric chorus, DJ-friendly outro. Production: heavy bus compression, tasteful sidechain, wide stereo filters. Keep it groove-forward, modern, and usable as a polished Suno style prompt. Exclude: trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro.",Original normalized prompt based on genre research and Suno official prompt-format guidance; no artist-name imitation in public prompt text.
eg767ada25,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Downtown Stomp,122,D minor,medium,club-rock seed,looped dancefloor pocket,rubbery disco bassline,glossy analog chord loops,short clipped rhythm guitar accents,minimal repeated vocal phrase,warm nightclub euphoria,"tight modern low-end, tape-saturated highs, phaser sweeps","8-bar filtered intro, groove drop, vocal hook, instrumental bridge, stacked outro","trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro","french touch, filter house, electro funk, disco house, vocoder, groove, 122bpm, d-minor","Create an overseas french touch / filter house track with a looped dancefloor pocket, rubbery disco bassline, glossy analog chord loops, and short clipped rhythm guitar accents. Use minimal repeated vocal phrase, warm nightclub euphoria, 122 BPM, D minor. Arrangement: 8-bar filtered intro, groove drop, vocal hook, instrumental bridge, stacked outro. Production: tight modern low-end, tape-saturated highs, phaser sweeps. Keep it groove-forward, modern, and usable as a polished Suno style prompt. Exclude: trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro.",Original normalized prompt based on genre research and Suno official prompt-format guidance; no artist-name imitation in public prompt text.
eg39988603,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Fever Machine,120,D minor,low,full song seed,looped dancefloor pocket,rubbery disco bassline,bright arpeggiated synth accents,"no guitar, synths carry the rhythm",airy female chorus layers,sleek city dancefloor energy,"glossy but human production, no over-quantized stiffness","8-bar filtered intro, groove drop, vocal hook, instrumental bridge, stacked outro","trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro","french touch, filter house, electro funk, disco house, vocoder, groove, 120bpm, d-minor","Create an overseas french touch / filter house instrumental track with a looped dancefloor pocket, rubbery disco bassline, bright arpeggiated synth accents, and no guitar, synths carry the rhythm. Use airy female chorus layers, sleek city dancefloor energy, 120 BPM, D minor. Arrangement: 8-bar filtered intro, groove drop, vocal hook, instrumental bridge, stacked outro. Production: glossy but human production, no over-quantized stiffness. Keep it groove-forward, modern, and usable as a polished Suno style prompt. Exclude: trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro.",Original normalized prompt based on genre research and Suno official prompt-format guidance; no artist-name imitation in public prompt text.
eg6f392782,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Afterhours Skyline,118,D minor,low,intro-heavy seed,tight four-on-the-floor groove,rubbery disco bassline,glossy analog chord loops,short clipped rhythm guitar accents,robotic call-and-response hook,playful robotic confidence,"clean club mix, ducked chords, crisp hats","slow filter-open intro, bass-led verse, vocoder refrain, euphoric chorus, DJ-friendly outro","trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro","french touch, filter house, electro funk, disco house, vocoder, groove, 118bpm, d-minor","Create an overseas french touch / filter house track with a tight four-on-the-floor groove, rubbery disco bassline, glossy analog chord loops, and short clipped rhythm guitar accents. Use robotic call-and-response hook, playful robotic confidence, 118 BPM, D minor. Arrangement: slow filter-open intro, bass-led verse, vocoder refrain, euphoric chorus, DJ-friendly outro. Production: clean club mix, ducked chords, crisp hats. Keep it groove-forward, modern, and usable as a polished Suno style prompt. Exclude: trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro.",Original normalized prompt based on genre research and Suno official prompt-format guidance; no artist-name imitation in public prompt text.
eg43a3cf16,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Velvet Engine,126,E minor,low,vocal pop seed,rubbery disco-house pocket,punchy funk bass with clipped attack,bright arpeggiated synth accents,short clipped rhythm guitar accents,robotic call-and-response hook,sleek city dancefloor energy,"tight modern low-end, tape-saturated highs, phaser sweeps","slow filter-open intro, bass-led verse, vocoder refrain, euphoric chorus, DJ-friendly outro","trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro","french touch, filter house, electro funk, disco house, vocoder, groove, 126bpm, e-minor","Create an overseas french touch / filter house track with a rubbery disco-house pocket, punchy funk bass with clipped attack, bright arpeggiated synth accents, and short clipped rhythm guitar accents. Use robotic call-and-response hook, sleek city dancefloor energy, 126 BPM, E minor. Arrangement: slow filter-open intro, bass-led verse, vocoder refrain, euphoric chorus, DJ-friendly outro. Production: tight modern low-end, tape-saturated highs, phaser sweeps. Keep it groove-forward, modern, and usable as a polished Suno style prompt. Exclude: trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro.",Original normalized prompt based on genre research and Suno official prompt-format guidance; no artist-name imitation in public prompt text.
eg9ce01aa5,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Analog Chase,124,A minor,low,chorus-first seed,rubbery disco-house pocket,rubbery disco bassline,sample-inspired disco chord hooks,muted funk guitar tucked into the groove,smooth understated male vocal,retro-futuristic joy,"tight modern low-end, tape-saturated highs, phaser sweeps","8-bar filtered intro, groove drop, vocal hook, instrumental bridge, stacked outro","trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro","french touch, filter house, electro funk, disco house, vocoder, groove, 124bpm, a-minor","Create an overseas french touch / filter house track with a rubbery disco-house pocket, rubbery disco bassline, sample-inspired disco chord hooks, and muted funk guitar tucked into the groove. Use smooth understated male vocal, retro-futuristic joy, 124 BPM, A minor. Arrangement: 8-bar filtered intro, groove drop, vocal hook, instrumental bridge, stacked outro. Production: tight modern low-end, tape-saturated highs, phaser sweeps. Keep it groove-forward, modern, and usable as a polished Suno style prompt. Exclude: trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro.",Original normalized prompt based on genre research and Suno official prompt-format guidance; no artist-name imitation in public prompt text.
eg68f914f4,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Midnight Chase,118,C minor,medium-low,intro-heavy seed,tight four-on-the-floor groove,punchy funk bass with clipped attack,sample-inspired disco chord hooks,short clipped rhythm guitar accents,robotic call-and-response hook,warm nightclub euphoria,"tight modern low-end, tape-saturated highs, phaser sweeps","slow filter-open intro, bass-led verse, vocoder refrain, euphoric chorus, DJ-friendly outro","trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro","french touch, filter house, electro funk, disco house, vocoder, groove, 118bpm, c-minor","Create an overseas french touch / filter house track with a tight four-on-the-floor groove, punchy funk bass with clipped attack, sample-inspired disco chord hooks, and short clipped rhythm guitar accents. Use robotic call-and-response hook, warm nightclub euphoria, 118 BPM, C minor. Arrangement: slow filter-open intro, bass-led verse, vocoder refrain, euphoric chorus, DJ-friendly outro. Production: tight modern low-end, tape-saturated highs, phaser sweeps. Keep it groove-forward, modern, and usable as a polished Suno style prompt. Exclude: trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro.",Original normalized prompt based on genre research and Suno official prompt-format guidance; no artist-name imitation in public prompt text.
ege0d65607,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Electric Machine,126,C minor,high,night-drive cue,looped dancefloor pocket,subtle walking disco bass,filtered Rhodes-style chords,thin wah-wah guitar scratches,robotic call-and-response hook,sleek city dancefloor energy,"glossy but human production, no over-quantized stiffness","intro filter sweep, verse groove, pre-chorus lift, hook chorus, breakdown, final chorus","trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro","french touch, filter house, electro funk, disco house, vocoder, groove, 126bpm, c-minor","Create an overseas french touch / filter house track with a looped dancefloor pocket, subtle walking disco bass, filtered Rhodes-style chords, and thin wah-wah guitar scratches. Use robotic call-and-response hook, sleek city dancefloor energy, 126 BPM, C minor. Arrangement: intro filter sweep, verse groove, pre-chorus lift, hook chorus, breakdown, final chorus. Production: glossy but human production, no over-quantized stiffness. Keep it groove-forward, modern, and usable as a polished Suno style prompt. Exclude: trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro.",Original normalized prompt based on genre research and Suno official prompt-format guidance; no artist-name imitation in public prompt text.
eg75825d6c,V03-20260621,overseas / non-Japanese,French Touch / Filter House,french-touch-filter-house,Magnetic Frequency,122,A major,low,night-drive cue,rubbery disco-house pocket,rubbery disco bassline,bright arpeggiated synth accents,"no guitar, synths carry the rhythm",airy female chorus layers,retro-futuristic joy,"compressed kick, shimmering filters, warm saturation","8-bar filtered intro, groove drop, vocal hook, instrumental bridge, stacked outro","trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro","french touch, filter house, electro funk, disco house, vocoder, groove, 122bpm, a-major","Create an overseas french touch / filter house track with a rubbery disco-house pocket, rubbery disco bassline, bright arpeggiated synth accents, and no guitar, synths carry the rhythm. Use airy female chorus layers, retro-futuristic joy, 122 BPM, A major. Arrangement: 8-bar filtered intro, groove drop, vocal hook, instrumental bridge, stacked outro. Production: compressed kick, shimmering filters, warm saturation. Keep it groove-forward, modern, and usable as a polished Suno style prompt. Exclude: trap hi-hats, dubstep wobble, harsh EDM drop, Japanese vocals, anime opening style, acoustic folk intro.",Original normalized prompt based on genre research and Suno official prompt-format guidance; no artist-name imitation in public prompt text.
