id,collection,language_focus,category,subgenre,variation,variation_label,groove_level,bpm,key,energy,style_prompt,exclude,lyrics_direction,tags,source_basis
ROCK-V02-001-1,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,pocket groove rock,single_style,Style prompt only,10,100,D minor,10,"Create a pocket groove rock track with deep in-the-pocket backbeat, ghost-note snare, syncopated bass pushes. Use dry crunchy rhythm guitars with short stabs and bluesy fills; rubbery bassline locked to kick, tight organic drums, minimal fills. Lead vocal: raspy confident male vocal with restrained swagger. Production: warm analog rock mix, close drum room, light tape saturation. BPM: 100, Key: D minor. Make the chorus memorable without becoming generic pop.","EDM drop, trap hi-hats, Japanese vocals, idol-pop brightness, over-polished pop sheen","Lyrics should feel direct, physical, road-worn, with short hook phrases and no fantasy language.",groove rock; riff rock; bass-driven; overseas rock,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-001-2,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,pocket groove rock,detailed_arrangement,Detailed arrangement,10,106,E minor,10,"Create a pocket groove rock song. Intro: establish the groove with drums and bass first. Verse: dry crunchy rhythm guitars with short stabs and bluesy fills in a restrained pattern. Pre-chorus: add tension with rising dynamics. Chorus: open into a bigger guitar hook while the rhythm stays deep in-the-pocket backbeat, ghost-note snare, syncopated bass pushes. Bridge: strip down to bass/drums, then rebuild into the final chorus. Vocal: raspy confident male vocal with restrained swagger. Production: warm analog rock mix, close drum room, light tape saturation. BPM: 106, Key: E minor.","EDM drop, trap hi-hats, Japanese vocals, idol-pop brightness, over-polished pop sheen","Lyrics should feel direct, physical, road-worn, with short hook phrases and no fantasy language.",groove rock; riff rock; bass-driven; overseas rock,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-001-3,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,pocket groove rock,raw_live,Raw/live version,10,110,A minor,10,"Raw live-band pocket groove rock, no click-perfect feel. The drummer should breathe around the groove: deep in-the-pocket backbeat, ghost-note snare, syncopated bass pushes. Guitars: dry crunchy rhythm guitars with short stabs and bluesy fills. Bass/drums: rubbery bassline locked to kick, tight organic drums, minimal fills. Vocal performance: raspy confident male vocal with restrained swagger. Keep the mix warm analog rock mix, close drum room, light tape saturation, with human imperfections, small timing pushes, and real amp grit. BPM: 110, Key: A minor.","EDM drop, trap hi-hats, Japanese vocals, idol-pop brightness, over-polished pop sheen","Lyrics should feel direct, physical, road-worn, with short hook phrases and no fantasy language.",groove rock; riff rock; bass-driven; overseas rock,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-001-4,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,pocket groove rock,hook_focused,Hook-focused version,10,114,D minor,10,"Hook-focused pocket groove rock with a strong guitar or bass motif in the first five seconds. Build around deep in-the-pocket backbeat, ghost-note snare, syncopated bass pushes; make dry crunchy rhythm guitars with short stabs and bluesy fills answer the vocal line. rubbery bassline locked to kick, tight organic drums, minimal fills. Vocal: raspy confident male vocal with restrained swagger. Production: warm analog rock mix, close drum room, light tape saturation. Add a short instrumental break after the second chorus. BPM: 114, Key: D minor.","EDM drop, trap hi-hats, Japanese vocals, idol-pop brightness, over-polished pop sheen","Lyrics should feel direct, physical, road-worn, with short hook phrases and no fantasy language.",groove rock; riff rock; bass-driven; overseas rock,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-002-1,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,syncopated riff rock,single_style,Style prompt only,9,112,E minor,9,"Create a syncopated riff rock track with off-beat accents, push-pull guitar rhythm, half-time chorus option. Use palm-muted low-string riffs alternating with open chord hits; busy but controlled bass accents, dry punchy snare, kick on unexpected pushes. Lead vocal: gritty melodic vocal, slightly behind the beat. Production: modern but organic mix, guitars wide, drums centered. BPM: 112, Key: E minor. Make the chorus memorable without becoming generic pop.","synth-pop gloss, EDM builds, orchestral strings, rap verses","Lyrics should use clipped lines, urban tension, and a chorus built around a chantable phrase.",syncopated; riff rock; muscular; guitar groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-002-2,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,syncopated riff rock,detailed_arrangement,Detailed arrangement,9,118,F# minor,9,"Create a syncopated riff rock song. Intro: establish the groove with drums and bass first. Verse: palm-muted low-string riffs alternating with open chord hits in a restrained pattern. Pre-chorus: add tension with rising dynamics. Chorus: open into a bigger guitar hook while the rhythm stays off-beat accents, push-pull guitar rhythm, half-time chorus option. Bridge: strip down to bass/drums, then rebuild into the final chorus. Vocal: gritty melodic vocal, slightly behind the beat. Production: modern but organic mix, guitars wide, drums centered. BPM: 118, Key: F# minor.","synth-pop gloss, EDM builds, orchestral strings, rap verses","Lyrics should use clipped lines, urban tension, and a chorus built around a chantable phrase.",syncopated; riff rock; muscular; guitar groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-002-3,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,syncopated riff rock,raw_live,Raw/live version,9,122,B minor,9,"Raw live-band syncopated riff rock, no click-perfect feel. The drummer should breathe around the groove: off-beat accents, push-pull guitar rhythm, half-time chorus option. Guitars: palm-muted low-string riffs alternating with open chord hits. Bass/drums: busy but controlled bass accents, dry punchy snare, kick on unexpected pushes. Vocal performance: gritty melodic vocal, slightly behind the beat. Keep the mix modern but organic mix, guitars wide, drums centered, with human imperfections, small timing pushes, and real amp grit. BPM: 122, Key: B minor.","synth-pop gloss, EDM builds, orchestral strings, rap verses","Lyrics should use clipped lines, urban tension, and a chorus built around a chantable phrase.",syncopated; riff rock; muscular; guitar groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-002-4,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,syncopated riff rock,hook_focused,Hook-focused version,9,126,E minor,9,"Hook-focused syncopated riff rock with a strong guitar or bass motif in the first five seconds. Build around off-beat accents, push-pull guitar rhythm, half-time chorus option; make palm-muted low-string riffs alternating with open chord hits answer the vocal line. busy but controlled bass accents, dry punchy snare, kick on unexpected pushes. Vocal: gritty melodic vocal, slightly behind the beat. Production: modern but organic mix, guitars wide, drums centered. Add a short instrumental break after the second chorus. BPM: 126, Key: E minor.","synth-pop gloss, EDM builds, orchestral strings, rap verses","Lyrics should use clipped lines, urban tension, and a chorus built around a chantable phrase.",syncopated; riff rock; muscular; guitar groove,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-003-1,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,swagger blues-groove rock,single_style,Style prompt only,9,97,E major,9,"Create a swagger blues-groove rock track with shuffle-influenced 4/4, lazy snare pocket, swinging 16ths. Use tube-amp blues riffs, slide guitar fills, short call-and-response licks; walking bass fragments with kick-snare lock, live room drums. Lead vocal: smoky raspy lead vocal, loose backing shouts. Production: vintage console warmth, spring reverb, tape slapback. BPM: 97, Key: E major. Make the chorus memorable without becoming generic pop.","metal double-kick, EDM bass, clean corporate pop, Japanese vocals","Lyrics: barroom confidence, night driving, sly humor, compact verse storytelling.",swagger rock; blues rock; groove; vintage,original_derived_from_research; see sources-license-notes-V02-20260621.txt
ROCK-V02-003-2,suno-rock-prompts-overseas-V02-20260621,"English / overseas rock, no Japanese genre focus",Groove & Riff Rock,swagger blues-groove rock,detailed_arrangement,Detailed arrangement,9,103,G major,9,"Create a swagger blues-groove rock song. Intro: establish the groove with drums and bass first. Verse: tube-amp blues riffs, slide guitar fills, short call-and-response licks in a restrained pattern. Pre-chorus: add tension with rising dynamics. Chorus: open into a bigger guitar hook while the rhythm stays shuffle-influenced 4/4, lazy snare pocket, swinging 16ths. Bridge: strip down to bass/drums, then rebuild into the final chorus. Vocal: smoky raspy lead vocal, loose backing shouts. Production: vintage console warmth, spring reverb, tape slapback. BPM: 103, Key: G major.","metal double-kick, EDM bass, clean corporate pop, Japanese vocals","Lyrics: barroom confidence, night driving, sly humor, compact verse storytelling.",swagger rock; blues rock; groove; vintage,original_derived_from_research; see sources-license-notes-V02-20260621.txt
